0	0	-858993460
0	0	0
0	0	0
3	3	0
17	20	0
30	50	0
40	90	0
64	154	0
78	232	0
112	344	1
130	474	1
184	658	2
209	867	3
240	1107	4
279	1386	5
332	1718	6
391	2109	8
431	2540	9
393	2933	11
496	3429	13
456	3885	15
494	4379	17
511	4890	19
488	5378	20
538	5916	23
527	6443	25
443	6886	26
419	7305	28
477	7782	30
458	8240	32
401	8641	33
400	9041	35
651	9692	37
0	9692	37
316	10008	38
296	10304	40
521	10825	42
0	10825	42
264	11089	43
277	11366	44
494	11860	46
0	11860	46
235	12095	47
226	12321	47
516	12837	49
0	12837	49
263	13100	50
218	13318	51
516	13834	53
0	13834	53
229	14063	54
273	14336	55
541	14877	57
0	14877	57
273	15150	58
262	15412	59
593	16005	62
0	16005	62
304	16309	63
334	16643	64
732	17375	67
0	17375	67
389	17764	69
517	18281	71
428	18709	72
921	19630	76
0	19630	76
470	20100	78
427	20527	79
464	20991	81
397	21388	83
452	21840	84
421	22261	86
858	23119	89
0	23119	89
358	23477	91
391	23868	92
367	24235	94
336	24571	95
381	24952	97
354	25306	98
707	26013	101
0	26013	101
396	26409	102
336	26745	104
367	27112	105
402	27514	107
414	27928	108
420	28348	110
894	29242	113
0	29242	113
479	29721	115
563	30284	117
465	30749	119
498	31247	121
472	31719	123
558	32277	125
918	33195	129
0	33195	129
533	33728	131
459	34187	133
458	34645	134
423	35068	136
423	35491	138
406	35897	139
791	36688	142
0	36688	142
365	37053	144
440	37493	145
370	37863	147
408	38271	148
362	38633	150
447	39080	152
815	39895	155
0	39895	155
458	40353	157
419	40772	158
386	41158	160
384	41542	161
352	41894	163
430	42324	164
798	43122	167
0	43122	167
436	43558	169
488	44046	171
489	44535	173
455	44990	175
530	45520	177
448	45968	178
523	46491	180
440	46931	182
1040	47971	186
0	47971	186
511	48482	188
522	49004	190
512	49516	192
499	50015	194
498	50513	196
435	50948	198
384	51332	199
443	51775	201
378	52153	202
323	52476	204
342	52818	205
299	53117	206
265	53382	207
259	53641	208
534	54175	210
0	54175	210
268	54443	211
232	54675	212
234	54909	213
265	55174	214
239	55413	215
198	55611	216
203	55814	217
214	56028	218
195	56223	218
211	56434	219
202	56636	220
163	56799	221
159	56958	221
134	57092	222
275	57367	223
0	57367	223
133	57500	223
116	57616	224
136	57752	224
106	57858	225
130	57988	225
108	58096	226
117	58213	226
126	58339	226
123	58462	227
129	58591	227
115	58706	228
153	58859	229
148	59007	229
118	59125	230
316	59441	231
0	59441	231
171	59612	231
158	59770	232
169	59939	233
221	60160	234
202	60362	234
185	60547	235
182	60729	236
177	60906	236
185	61091	237
164	61255	238
172	61427	239
209	61636	239
177	61813	240
148	61961	241
388	62349	242
0	62349	242
193	62542	243
198	62740	244
190	62930	244
204	63134	245
226	63360	246
197	63557	247
226	63783	248
232	64015	249
196	64211	249
163	64374	250
171	64545	251
156	64701	251
114	64815	252
79	64894	252
176	65070	253
0	65070	253
74	65144	253
79	65223	253
39	65262	253
38	65300	254
49	65349	254
26	65375	254
34	65409	254
23	65432	254
23	65455	254
15	65470	254
16	65486	254
14	65500	254
19	65519	254
5	65524	254
6	65530	254
0	65530	254
1	65531	254
2	65533	254
2	65535	254
0	65535	254
0	65535	254
0	65535	254
0	65535	254
0	65535	254
0	65535	254
0	65535	254
0	65535	254
0	65535	254
0	65535	254
1	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
0	65536	255
